day,interval,detid,flow,occ,error,city,speed
2017-11-13,30900,N51141G,1116.0,39.8571428571429,1.0,bolton,28.0
2017-11-13,30900,N51151A,312.0,8.21052631578947,1.0,bolton,38.0
2017-11-13,30900,N51151B,792.0,29.3333333333333,1.0,bolton,27.0
2017-11-13,30900,N51151D,720.0,22.5,1.0,bolton,32.0
2017-11-13,30900,N51161W,936.0,42.5454545454546,1.0,bolton,22.0
2017-11-13,30900,N51161X,156.0,5.57142857142857,1.0,bolton,28.0
2017-11-13,30900,N51161Y,828.0,29.5714285714286,1.0,bolton,28.0
2017-11-13,30900,N51161Z,228.0,5.5609756097561,1.0,bolton,41.0
2017-11-13,30900,N51171M,1488.0,67.6363636363637,1.0,bolton,22.0
2017-11-13,30900,N51171N,276.0,5.63265306122449,1.0,bolton,49.0
2017-11-13,30900,N51171R,0.0,0.0,1.0,bolton,0.0
2017-11-13,30900,N51171S,216.0,4.69565217391304,1.0,bolton,46.0
2017-11-13,30900,N51171V,828.0,25.875,1.0,bolton,32.0
2017-11-13,30900,N51231N,552.0,22.08,1.0,bolton,25.0
2017-11-13,30900,N51231O,408.0,11.6571428571429,1.0,bolton,35.0
2017-11-13,30900,N51231P,252.0,14.8235294117647,1.0,bolton,17.0
2017-11-13,30900,N51232K,540.0,19.2857142857143,1.0,bolton,28.0
2017-11-13,30900,N51232L,588.0,21.7777777777778,1.0,bolton,27.0
2017-11-13,30900,N51241B,432.0,13.5,1.0,bolton,32.0
2017-11-13,30900,N51241D,552.0,18.4,1.0,bolton,30.0
2017-11-13,30900,N51241E,900.0,30.0,1.0,bolton,30.0
2017-11-13,30900,N51241F,624.0,36.7058823529412,1.0,bolton,17.0
2017-11-13,30900,N51242G,300.0,13.6363636363636,1.0,bolton,22.0
2017-11-13,30900,N51242H,984.0,30.75,1.0,bolton,32.0
2017-11-13,30900,N51242J,684.0,27.36,1.0,bolton,25.0
2017-11-13,30900,N51321X,0.0,0.0,1.0,bolton,0.0
2017-11-13,30900,N51321S,1440.0,72.0,1.0,bolton,20.0
2017-11-13,30900,N51321R,72.0,0.9,1.0,bolton,80.0
